,gameid,league,year,split,patch,participantid,playername,playerid,teamname,teamid,position,champion,ban1,ban2,ban3,ban4,ban5,result,cspm,monsterkills,earnedgpm,kills,deaths,assists,vspm,teamkills,teamdeaths
0,9691-9691_game_1,LPL,2023,Spring,13.01,1,Xiaolaohu,oe:player:0e42126e417733263459e2b54ae7e2a,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,top,K'Sante,Lucian,Varus,Syndra,LeBlanc,Viktor,0,7.9739,0,187.1242,1,4,1,0.4902,6,16
1,9691-9691_game_1,LPL,2023,Spring,13.01,2,haoye,oe:player:1e9df7dacc21aca9011a58eac5abae5,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,jng,Vi,Lucian,Varus,Syndra,LeBlanc,Viktor,0,5.5556,155,213.5294,2,3,4,1.5686,6,16
2,9691-9691_game_1,LPL,2023,Spring,13.01,3,Care,oe:player:6bc43cc1537fa4ac6295b4899e972cf,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,mid,Akali,Lucian,Varus,Syndra,LeBlanc,Viktor,0,7.9412,0,215.9804,1,2,4,1.2745,6,16
3,9691-9691_game_1,LPL,2023,Spring,13.01,4,Lwx,oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,bot,Caitlyn,Lucian,Varus,Syndra,LeBlanc,Viktor,0,11.0131,25,285.0327,1,2,3,0.817,6,16
4,9691-9691_game_1,LPL,2023,Spring,13.01,5,Lele,oe:player:ad991b9f2f7e553d4eefb9f5d06afc9,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,sup,Lux,Lucian,Varus,Syndra,LeBlanc,Viktor,0,1.3072,0,83.8235,1,5,3,2.5817,6,16
5,9691-9691_game_1,LPL,2023,Spring,13.01,6,Biubiu,oe:player:445af96e9e883e18105c9c6072d97a1,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,top,Renekton,Zeri,Ryze,Yuumi,Ahri,Fiora,1,10.0,12,312.2876,0,0,6,0.915,16,6
6,9691-9691_game_1,LPL,2023,Spring,13.01,7,Heng,oe:player:92f0831b560a15d8be3be25275adb08,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,jng,Maokai,Zeri,Ryze,Yuumi,Ahri,Fiora,1,4.9673,139,244.7059,1,2,12,1.3725,16,6
7,9691-9691_game_1,LPL,2023,Spring,13.01,8,Shanks,oe:player:0e2f0d3ded24c190dd6a4b3d6f89f04,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,mid,Azir,Zeri,Ryze,Yuumi,Ahri,Fiora,1,8.8562,12,365.0327,8,1,4,1.3072,16,6
8,9691-9691_game_1,LPL,2023,Spring,13.01,9,Hope,oe:player:7cf68f44e5dc31827b1d3f0a3b4a28e,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,bot,Kalista,Zeri,Ryze,Yuumi,Ahri,Fiora,1,10.1961,24,372.7124,7,3,5,1.4379,16,6
9,9691-9691_game_1,LPL,2023,Spring,13.01,10,Iwandy,oe:player:db820b983e253a5e5926aa8cd8d1a82,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,sup,Nautilus,Zeri,Ryze,Yuumi,Ahri,Fiora,1,0.9477,0,135.5882,0,0,15,2.8105,16,6
12,9691-9691_game_2,LPL,2023,Spring,13.01,1,Biubiu,oe:player:445af96e9e883e18105c9c6072d97a1,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,top,Kennen,Galio,Fiora,Ryze,Syndra,K'Sante,0,8.4654,4,265.3963,0,5,1,1.4165,4,17
